0.5	96	4	初修取得	1	
0.5	97	4	初修取得	1	
2	86	3.7	初修取得	1	
2	84	3.3	初修取得	1	
1	85	3.7	初修取得	1	
2	90	3.9	初修取得	1	
6	95.5	4	初修取得	1	
2	84	3.3	初修取得	0	
4	89	3.7	初修取得	1	
3	95	4	初修取得	1	
3	82	3.3	初修取得	1	
2	85	3.7	初修取得	1	
6	95.5	4	初修取得	1	
4	98	4	初修取得	1	
1.5	90	3.9	初修取得	1	
2.5	89	3.7	初修取得	1	
4	88.5	3.7	初修取得	1	
1	88	3.7	初修取得	1	
1	65.5	1.7	初修取得	1	
2	85	3.7	初修取得	1	
3	99.5	4	初修取得	1	
4	96	4	初修取得	1	
1.5	90	3.9	初修取得	1	
2	100	4	初修取得	1	
4	90	3.9	初修取得	1	
4	100	4	初修取得	1	
2	88	3.7	初修取得	1	
4	100	4	初修取得	1	
3	98	4	初修取得	1	
2.5	97	4	初修取得	1	1
4	98	4	初修取得	1	
3.5	94	3.9	初修取得	1	
2.5	96	4	初修取得	1	1
2	99	4	初修取得	1	
1	60	1	初修取得	0	
3.5	96.5	4	初修取得	1	
3.5	78	3	初修取得	1	
2	75	2.7	初修取得	1	
1	72	2.3	初修取得	1	
2.5	97	4	初修取得	1	2
2.5	94	3.9	初修取得	1	1
2.5	96	4	初修取得	1	
1	85	3.7	初修取得	1	
3	92	3.9	初修取得	0	1
3.5	92	3.9	初修取得	1	
3.5	95.5	4	初修取得	1	
3	86	3.7	初修取得	1	2
2.5	78	3	初修取得	1	1
2	100	4	初修取得	1	
